,x1,x2,x3,x4,x5
0,1.9903358925462757,-4.163917130725261,-4.747580319854263,-3.4747005108363815,-4.4711884737328225
1,-0.9175328230796161,-5.73305680270308,-4.731824475404174,-4.7856301511144785,-5.449031889190231
2,1.1493163405116227,-3.391586683753875,-4.020515920357452,-3.7084766475024877,-5.090363602849014
3,0.3039507974316395,-3.48185091271702,-2.482525460665803,-5.908682940172826,-5.039028353357996
4,-1.402156963053879,-6.830926914384768,-4.100298664122782,-4.820426766996062,-5.721661978083908
5,1.0728113551581204,-3.0352977332760247,-4.067091800348754,-5.11328335806717,-4.749220368977626
6,3.014301524739662,-5.313909107397691,-4.37080009584109,-3.20247925601175,-4.056544201830636
7,-3.7540143200980625,-7.7554469073496035,-6.5303080620256875,-3.809707243398277,-7.0622014717225
8,1.4553062504772702,-5.986072334014619,-6.403035437810664,-4.556364160396578,-4.077202944070003
9,-1.2326256552101051,-7.2146125728850325,-4.247412956081134,-6.0348037731219115,-5.196805713552391
10,-4.912547373123292,-4.2142965765458555,-5.706139075743903,-6.689461252249862,-7.151582448079111
11,-4.413979303263809,-5.6459929758960765,-6.8274068415731435,-6.803902426126546,-6.889491573005083
12,-3.855918732068077,-6.743545917769768,-8.148683330749297,-5.555714203548511,-6.405881597753379
13,-1.3585801954867163,-6.505388861140526,-6.676773319998553,-4.758248252342199,-5.581011195349253
14,-1.1858175661599981,-4.469808914767142,-4.53459574684895,-6.966759689985075,-5.114036594968074
15,0.5222368447713118,-6.0440919542543,-3.688679263881461,-6.543451716844078,-4.284314216849855
16,1.7620157261495202,-4.23192639782025,-5.65033234661898,-4.045316964614014,-4.246642813168756
17,-1.351686705015867,-5.9613100311893366,-6.163991592155772,-4.8220258663738855,-5.4051488513718855
18,3.6496833774272845,-4.244253085957424,-5.059312086404241,-4.75102314693722,-3.455219723924988
19,-2.3324283333934708,-5.977046288112999,-3.1238513961388055,-5.679277177998428,-6.092797382552179
20,0.6434700846473467,-5.987971846676421,-6.71964733005595,-2.6942765066944805,-4.98913883023639
21,1.645573625391516,-4.590165179943033,-5.942939365553382,-2.677250734946591,-4.662671301587107
22,1.9341856418535626,-7.250186455072628,-6.140300191926885,-3.6474731723460128,-3.69405752919491
23,-2.4381155624065367,-3.391327831273129,-5.919968110378074,-6.1711030260885416,-6.217992591106239
24,-1.8546805567861224,-6.900657923845638,-4.8203941508834305,-4.912731641523119,-5.665986051478318
25,-1.9470558551588608,-4.239789423749007,-4.690011822190898,-5.294060966829432,-6.155572354229256
26,0.08813983072643258,-2.857921490953136,-2.7974756109454013,-4.434521763857093,-5.736654590240364
27,3.1787813114668073,-2.569902095526846,-2.8665860527759732,-5.105080467168096,-3.9601415801925643
28,2.931797200859506,-4.109645143390043,-4.182614069854367,-3.691400719954837,-4.017757987437588
29,0.9774605122432183,-6.266653208065316,-6.267596810578455,-6.028963785512728,-4.022206188861535
30,0.9698919666479974,-5.384188772778471,-4.255918701211102,-5.994419714295164,-4.267020142441484
31,3.4470624091916013,-2.8608038802237563,-4.915448814297909,-4.433446114679854,-3.5307659160804685
32,-1.8305961046166015,-6.822619696749354,-4.951581733009473,-4.998284050447478,-5.63820081186153
33,1.0559898827355392,-4.867578968644726,-5.703257102679661,-6.463980409691543,-3.916053558269895
34,1.8377147484480436,-3.3549407683912067,-4.782403310611079,-5.088233894841472,-3.9829867145362483
35,-0.07962989451009013,-5.430953590537939,-4.735114750347126,-4.60559733003125,-5.091072464464339
36,2.8208041802803305,-2.7273020311720644,-4.466034036261862,-5.021485614571999,-3.6255301800187976
37,-1.4416765278346264,-5.344826701607422,-8.313143886600349,-3.3501299114757748,-6.016748121184642
38,1.204283192505487,-3.9264660021673166,-4.278377561940797,-4.91184280282934,-4.531898305774102
39,4.20900856423006,-5.570642444645877,-4.35720115405801,-3.472772380086357,-2.8511219403079955
40,-1.3238247425994463,-5.051934019022482,-4.402646346892962,-5.514178681598478,-5.743622835830377
41,-2.0767017456112606,-3.7667490620930058,-4.651056859926293,-4.254089427302774,-6.692165948328064
42,2.2241051815839374,-2.8842089943934925,-4.341330926744819,-4.761451483931212,-3.9184568909249595
43,-0.20931432225243982,-5.772118992371041,-5.385707316085623,-4.4545533803456046,-5.141634653111526
44,-1.6391650718711572,-4.340881920675469,-1.3848851594313927,-8.518227499721295,-5.248421512952058
45,1.0617515523006473,-5.128583541769827,-4.40894685745608,-3.2233405118259446,-5.255910775859266
46,0.6013400107780181,-5.241957020196519,-7.165305885176548,-4.7711899969413105,-4.518860847000963
47,-1.4435194256332606,-5.58348855993922,-3.8132438371557784,-7.035353088605678,-5.428529666200484
48,1.5339018407610545,-6.0190414238031105,-2.2941190651005345,-5.553270799265974,-4.07145145461269
49,-2.3740521099038974,-6.650412959054011,-5.000951283592867,-5.2400610765580975,-6.0785287158015535
50,3.5109074756861696,-5.373617679896254,-5.8460551545204495,-2.7800795888280736,-3.630715988597056
51,0.30301115425953434,-2.0726619548412946,-4.680758471633287,-5.859668403582062,-5.012666526493758
52,0.4690897861408252,-4.9649321133801685,-6.348965421070833,-3.1046417912776656,-5.112385451756768
53,-0.2808801520592013,-4.792762999862364,-5.144957721766137,-4.898431192981755,-5.189244506142774
54,1.2221447709007063,-3.811585586985926,-3.2747089202724595,-5.022716309061424,-4.48595590454392
55,1.0269811695770075,-6.581579067638169,-2.960071645686831,-5.597209194938326,-4.347943028801442
56,-2.1753366780677212,-5.191704188075569,-3.0300961290903294,-5.731754738590637,-5.80370505710209
